blind_id,bengali_context,bengali_question,bengali_answer,banglish_context,banglish_question,banglish_answer,meaning_preserved,naturalness_1to5
conversion-0001,"জৈনধর্মের উৎসটি স্পষ্ট নয়।[11][12] পাশ্চাত্য গবেষক হেলমুথ ফন গ্ল্যাসেন্যাপ লিখেছেন, খ্রিস্টপূর্ব ১ম সহস্রাব্দের ১ম শতাব্দীটিই জৈনধর্মের উৎসকালের সর্বাধিক সময়সীমা বলে ধরা যেতে পারে। তিনি প্রথম বাইশ জন তীর্থঙ্করকে পৌরাণিক চরিত্র বলে উল্লেখ করেছেন।[13][14]",জৈনধর্মের উদ্ভব কবে হয় ?,খ্রিস্টপূর্ব ১ম সহস্রাব্দের ১ম শতাব্দী,"Jain dhormer utshoti sposto noy.[11][12] Pashchatto gobeshok Helmuth von Glasenapp likhechen, Khristopurbo 1m sohosrabder 1m shotabditai Jain dhormer utshokaler sorbadhik shomoysima bole dhora jete pare. Tini prothom baish jon Tirthankarke pouranik choritro bole ullekh korechen.[13][14]",Jain dhormer udbhob kobe hoy?,Khristopurbo 1m shohosrabder 1m shotabdi,,
conversion-0002,"১৯৮৫ সালে মার্কিন যুক্তরাষ্ট্রের টেলিকম নিয়ন্ত্রক ফেডারেল কমিউনিকেশন কমিশন (এফসিসি) কর্তৃক বেনামে বর্ণমালার কয়েকটি ব্যান্ড খোলার জন্য অনুমতি দেয় যা ওয়াই-ফাই নামে পরিচিত । যেখানে সরকারি লাইসেন্সের প্রয়োজন ছাড়াই ব্যবহার করতে অনুমতি দেয়া হয়েছিল । ঐ সময় এই পদক্ষেপ সম্পর্কে খুব কম লোকই জানত ; এছাড়া হ্যাম-রেডিও চ্যানেলটি ছিল লাইসেন্সহীন একটি বর্ণালী। কিন্তু এফসিসির কর্মচারী, মাইকেল মার্কাস ছিল স্বপ্নদর্শী প্রকৌশলী যিনি শিল্প, বৈজ্ঞানিক ও চিকিৎসা ব্যান্ড থেকে তিন ভাগের এক ভাগ স্পেকট্রাম গ্রহণ করেন এবং যোগাযোগ উদ্যোক্তাদের কাছে তাদেরকে ব্যবহারের জন্য উন্মুক্ত করে দিয়েছিলেন।",ওয়াই-ফাই শব্দটির ব্যবহার প্রথম কবে থেকে শুরু হয় ?,১৯৮৫ সালে,"1985 sale Markin Juktorashtrer telecom niyontronk Federal Communication Commission (FCC) kortik bename bornomalar koyekti band kholar jonno onumoti deya hoy, ja Wi-Fi name porichito. Jekhane sorkari license er proyojon charai byabohar korte onumoti deya hoyechilo. Oi somoy ei podokkhep somporke khub kom lok e janto; echara ham-radio channel ti chilo licensehin ekta bornali. Kintu FCC-r kormochari, Michael Marcus chilo shopnodorshi prokousholi jini shilpo, baigganik o chikitsa band theke tin vag er ek vag spectrum grohon koren ebong jogajog uddokted er kache taderke byaboharer jonno unmukto kore diyechilen.",Wi-Fi shobdotir byabohar prothom kobe theke shuru hoy?,1985 shale,,
conversion-0003,সত্যেন সেন ১৯০৭ সালের মার্চ ২৮ তারিখে বিক্রমপুর (বর্তমান মুন্সীগঞ্জ জেলার) টঙ্গীবাড়ী উপজেলার সোনারং গ্রামের সেন পরিবারে জন্মগ্রহণ করেন। ছোটবেলায় ডাক নাম ছিল লস্কর। তার পিতার নাম ধরনীমোহন সেন এবং মাতার নাম মৃণালিনী সেন। চার সন্তানের মধ্যে সত্যেন ছিলেন সর্বকনিষ্ঠ। সোনারং গ্রামের সেন পরিবার ছিল শিক্ষা ও সংস্কৃতি চর্চার এক অনন্য উদাহরণ। সত্যেনের কাকা ক্ষিতিমোহন সেন ছিলেন বিশ্বভারতীর উপাচার্য। তার আরেক কাকা মনোমোহন সেন ছিলেন শিশুসাহিত্যিক। সত্যেন সেনের পরিবারেই তার পড়াশোনার হাতেখড়ি হয়। প্রাইমারি পঞ্চম শ্রেণি পর্যন্ত পড়াশোনা পরিবার ও গৃহশিক্ষকের কাছেই সম্পন্ন করেছিলেন। ১৯১৯ সালে সোনারং হাইস্কুলে তার প্রাতিষ্ঠানিক শিক্ষাজীবন শুরু হয়। ১৯২১ সালে তিনি যখন সোনারং হাইস্কুলের অষ্টম শ্রেণির ছাত্র তখন থেকেই তার মধ্যে রাজনৈতিক চেতনার বিকাশ লাভ করে। ১৯২৪ সালে সোনারঙ হাই স্কুল থেকে এন্ট্রান্স পাস করে কলকাতায় কলেজে ভর্তি হন এবং সেখানকার একটি কলেজ থেকে এফএ ও বিএ পাস করেন। এরপর তিনি কলকাতা ইউনিভার্সিটিতে ইতিহাস বিভাগে এমএ শ্রেণীতে ভর্তি হন। কিন্তু বিপ্লবী রাজনীতির সঙ্গে যুক্ত হওয়ার কারণে ১৯৩১ সালে কারাবরণ করলে জেলে থেকেই তিনি বাংলা সাহিত্যে এমএ পাস করেন।,প্রগতি লেখক ও শিল্পী সংঘ উদীচী সাংস্কৃতিক সংগঠনের প্রতিষ্ঠাতা সত্যেন সেনের জন্ম কোথায় হয় ?,বিক্রমপুর (বর্তমান মুন্সীগঞ্জ জেলার) টঙ্গীবাড়ী উপজেলার সোনারং গ্রামের সেন পরিবারে,Satyen Sen 1907 saler March 28 tarikh e Bikrampur (bortoman Munshiganj jeler) Tongibari upojelar Sonarang gramer Sen poribare jonmogrohon koren. Chotobelay dak nam chilo Loskor. Tar pitar nam Dharonimohon Sen ebong matar nam Mrinalini Sen. Char shontaner moddhe Satyen chilen shorbokonishtho. Sonarang gramer Sen poribar chilo shikkha o shongskriti chorchar ek ononno udahoron. Satyener kaka Khitimohon Sen chilen Vishvabharatir upacharya. Tar arek kaka Monomohon Sen chilen shishusahityik. Satyen Sener poribarei tar porashonar hatekhori hoy. Primary ponchom shreni porjonto porashona poribar o grihoshikkh,Progoti lekhok o shilpi shongho Udichi shangskritik shongothoner protishthata Satyen Sener jonmo kothay hoy?,Bikrampur (bortoman Munshiganj jelar) Tongibari upojelar Sonarang gramer Sen poribare,,
conversion-0004,"ভারতের সংবিধান ভারতীয় প্রজাতন্ত্রের সর্বোচ্চ আইন। এই সংবিধানে সরকারের গঠন, কার্যপদ্ধতি, ক্ষমতা ও কর্তব্য নির্ধারণ; মৌলিক অধিকার, রাষ্ট্রপরিচালনার নির্দেশমূলক নীতি, এবং নাগরিকদের কর্তব্য নির্ধারণের মাধ্যমে  দেশের মৌলিক রাজনৈতিক আদর্শের রূপরেখাটি নির্দিষ্ট করা হয়েছে। ১৯৪৯ সালের ২৬ নভেম্বর গণপরিষদে গৃহীত হওয়ার পর ১৯৫০ সালের ২৬ জানুয়ারি থেকে এই সংবিধান কার্যকরী হয়।[1] উল্লেখ্য, ১৯৩০ সালের ২৬ জানুয়ারি জাতীয় কংগ্রেসের ঐতিহাসিক স্বাধীনতা ঘোষণার স্মৃতিতে ২৬ জানুয়ারি তারিখটি সংবিধান প্রবর্তনের জন্য গৃহীত হয়েছিল। সংবিধানে ভারতীয় রাজ্যসংঘকে একটি সার্বভৌম, সমাজতান্ত্রিক, ধর্মনিরপেক্ষ গণতান্ত্রিক প্রজাতন্ত্র রূপে ঘোষণা করা হয়েছে; এই দেশের নাগরিকবৃন্দের জন্য ন্যায়বিচার, সাম্য ও স্বাধীনতা সুনিশ্চিত করা হয়েছে এবং জাতীয় সংহতি রক্ষার জন্য নাগরিকদের পরস্পরের মধ্যে ভ্রাতৃভাব জাগরিত করে তোলার জন্য অনুপ্রাণিত করা হয়েছে। ""সমাজতান্ত্রিক"", ""ধর্মনিরপেক্ষ"" ও ""সংহতি"" এবং সকল নাগরিকের মধ্যে ""ভ্রাতৃভাব"" – এই শব্দগুলি ১৯৭৬ সালে একটি সংবিধান সংশোধনীর মাধ্যমে সংবিধানের সঙ্গে যুক্ত করা হয়।[2] সংবিধান প্রবর্তনের স্মৃতিতে ভারতীয়রা প্রতি বছর ২৬ জানুয়ারি তারিখটি প্রজাতন্ত্র দিবস হিসেবে উদযাপন করেন।[3] ভারতের সংবিধান বিশ্বের সার্বভৌম রাষ্ট্রগুলির মধ্যে বৃহত্তম[4] লিখিত সংবিধান। এই সংবিধানে মোট ২৪টি অংশে ৪৪৮টি ধারা, ১২টি তফসিল এবং ১১৩টি সংশোধনী বিদ্যমান।[5] ভারতের সংবিধানের ইংরেজি সংস্করণে মোট শব্দসংখ্যা ১১৭,৩৬৯। এই সংবিধানের প্রবর্তনের সঙ্গে সঙ্গে পূর্বপ্রচলিত ১৯৩৫ সালের ভারত শাসন আইনের অবসান ঘটে। দেশের সর্বোচ্চ আইন হওয়ার দরুন, ভারত সরকার প্রবর্তিত প্রতিটি আইনকে সংবিধান-অনুসারী হতে হয়। সংবিধানের খসড়া কমিটির চেয়ারম্যান ড. ভীমরাও রামজি আম্বেডকর ছিলেন ভারতীয় সংবিধানের প্রধান স্থপতি।",ভারতের সংবিধানে মোট কয়টি ধারার উল্লেখ রয়েছে ?,৪৪৮,"Bharoter Songbidhan Bharotiyo Projatontorer sorbocho ain. Ei songbidhane sarkarer gothon, karyopoddhoti, khomota o kortobbo nirdharon; moulik odhikar, rashtraparichalonar nirdeshmulok niti, ebong nagorikder kortobbo nirdharoner maddhome desher moulik rajnaitik adorsher ruporekha nirdishto kora hoise. 1949 saler 26 November Gonoporishode grihito howar por 1950 saler 26 January theke ei songbidhan karyokori hoy.[1] Ullekhyo, 1930 saler 26 January Jatiyo Congress-er oitihashik shadhinota ghoshonar smritite 26 January tarikh-ti songbidhan probortoner jonno grihito hoyech",Bharoter songbidhan e mot koyti dharar ullekh royeche?,448,,
conversion-0005,বিজেপির উৎস ১৯৫১ সালে পশ্চিমবঙ্গের জন্মদাতা ভারতকেশরী শ্যামাপ্রসাদ মুখোপাধ্যায় কর্তৃক প্রতিষ্ঠিত ভারতীয় জনসংঘ দলটি। ১৯৭৭ সালে জরুরি অবস্থার পর জনসংঘ একাধিক রাজনৈতিক দলের সঙ্গে মিশে জনতা পার্টি গঠন করে। ১৯৭৭ সালের সাধারণ নির্বাচনে জনতা পার্টি ক্ষমতাসীন ভারতীয় জাতীয় কংগ্রেসকে পরাজিত করে সরকার গঠন করে। ১৯৮০ সালে জনতা পার্টি অবলুপ্ত হলে জনসংঘের প্রাক্তন সদস্যরা বিজেপি গঠন করেন। প্রথম দিকে বিজেপি রাজনৈতিক ক্ষেত্রে ব্যর্থ হয়েছিল। ১৯৮৪ সালের সাধারণ নির্বাচনে বিজেপি মাত্র দুটি আসনে জয় লাভ করেছিল। কিন্তু রাম জন্মভূমি আন্দোলনের সময় আবার এই দলের শক্তি বৃদ্ধিপায়। একাধিক রাজ্য নির্বাচনে জয় লাভ এবং জাতীয় স্তরের নির্বাচনে ভাল ফল করার পর অবশেষে ১৯৯৬ সালে বিজেপি সংসদে বৃহত্তম দলে পরিণত হয়। যদিও সংসদের নিম্নকক্ষ লোকসভায় সংখ্যাগরিষ্ঠতা অর্জন করতে না পারায় এই দলের সরকার মাত্র ১৩ দিন স্থায়ী হয়েছিল।,ভারতীয় জনতা পার্টি কবে প্রতিষ্ঠিত হয় ?,১৯৫১,BJP-r utsho 1951 sale Poshchimbonger jonmodata Bharatkeshari Shyamaprasad Mukhopadhyay kortik protishthito Bharatiyo Jansangha dolti. 1977 sale joruri obosthar por Jansangha ekadhik rajnaitik doler shonge mishe Janata Party gothon kore. 1977 saler shadharon nirbachone Janata Party khomotashin Bharatiyo Jatiyo Congress-ke porajito kore sorkar gothon kore. 1980 sale Janata Party obolupto hole Jansangher prakton sodoshora BJP gothon koren. Prothom dike BJP rajnaitik khetre byartho hoisilo. 1984 saler shadharon nirbachone BJP matro duti asone joy lav korechilo. Kintu Ram Janmabhoomi andoloner shomoy abar,Bharatiyo Janata Party kobe protishthito hoy?,1951,,
conversion-0006,"অ্যানড্রয়েড ইনকর্পোরেট প্রতিষ্ঠা হয়েছিল ২০০৩ সালের অক্টোবরে পালো আল্টো, ক্যালিফোর্নিয়ায়, প্রতিষ্ঠাতা অ্যান্ডি রুবিন (ডেন্জারের সহ-প্রতিষ্ঠাতা)[22], রিচ মাইনার(ওয়াইল্ডফায়ার কমউনিকেশনস, ইনকর্পোরেটেডের সহ প্রতিষ্ঠাতা)[23], নিক সিয়ারস (টি-মোবাইলের সাবেক ভাইস প্রেসিডেন্ট)[24] নিক সিয়ারস (টি-মোবাইলের প্রাক্তন ভাইস প্রেসিডেন্ট)এবং ক্রিস হোয়াইট (ওয়েবটিভি’র ডিজাইন এবং ইন্টারফেস প্রধান)[25]। যেহেতু তারা বিভিন্ন প্রতিষ্ঠানে নিয়োজিত ছিলেন তাই অ্যানড্রয়েডের কার্যক্রম চলতো অনেকটা গোপনে। প্রতিষ্ঠান থেকে এটা বলা হত যে তারা শুধু মোবাইলের একটি সফটওয়্যারের উপর কাজ করছেন। কোম্পানির প্রাথমিক উদ্দেশ্য ছিলো ডিজিটাল ক্যামেরার জন্য একটি উন্নত মানের অপারেটিং সিস্টেম তৈরী করা। যদিও পরে তারা বুঝতে পারেন ডিভাইসটির বাজার তত বড় নয়। তাই কোম্পানিটি মনোযোগ দেয় স্মার্টফোন অপারেটিং সিস্টেম তৈরীর উপর। উদ্দেশ্য ছিলো এটি সিমবিয়ান এবং মাইক্রোসফটের উইন্ডোজ মোবাইল মোবাইল অপারেটিং সিস্টেমগুলোর সাথে পাল্লা দেবে।[26] অ্যানড্রয়েড ইনকর্পোরেটেড লুকিয়ে পরিচালনা করা হত, কিন্তু সবাইকে বলতো তারা মোবাইল সফটওয়্যারের উপর কাজ করছে।[27] একই বছরে রুবিনের টাকা ফুরিয়ে যায়। স্টিভ পার্লম্যান,  রুবিনের কাছের বন্ধু, তার জন্য ১০,০০০ ডলার নগদ একটি খামে রেখে দেয় এবং কোম্পানির ঝুঁকি নিতে অস্বীকার করে।[27][28]",আইওএস মোবাইল অপারেটিং সিস্টেমটি কবে চালু হয় ?,২০০৩ সালে,"Android Incorporated protistha hoyechilo 2003 saler October-e Palo Alto, California-y, protisthata Andy Rubin (Danger-er sho-protisthata)[22], Rich Miner (Wildfire Communications, Incorporated-er sho protisthata)[23], Nick Sears (T-Mobile-er sabek Vice President)[24], Nick Sears (T-Mobile-er prakton Vice President) ebong Chris White (WebTV-r design ebong interface prodhan)[25]. Jehetu tara bibhinno protisthane niyojito chilen tai Android-er karyokrom cholto onekta gopone. Protisthan theke eta bola hoto je tara shudhu mobile-er ekta software-er upor kaj korchen. Company-r prathomik uddeshyo chilo digital camera-r jonno ekta unnoto maner operating system toiri kora. Jodio pore tara bujhte paren device-tir bajar toto b",iOS mobile operating system ta kobe chalu hoy?,2003 shale,,
conversion-0007,২০০০ সাল থেকে আর্সেনালের প্রশিক্ষণ কেন্দ্র হার্টফোর্ডশায়ারের সেনলিতে। এর আগে ব্যবহৃত হত ইউনিভার্সিটি কলেজ লন্ডনের ছাত্র ইউনিয়নের প্রশিক্ষণ কেন্দ্র। তারও আগে ১৯৬১ সাল পর্যন্ত হাইবারি।[16] আন্ডারহিল নামের সেই স্টেডিয়ামটি এখনও আর্সেনাল ফুটবল ক্লাবের অতিরিক্ত খেলোয়াড়দের ম্যাচ খেলার জন্য ব্যবহার করা হয়। বর্তমানে স্টেডিয়ামটি বার্নেট ফুটবল ক্লাবের মালিকানাধীন।,আর্সেনাল প্রশিক্ষণ কেন্দ্রের বর্তমান মালিক কে ?,বার্নেট ফুটবল ক্লাবে,2000 sal theke Arsenal-er proshikkhon kendro Hertfordshire-er Shenley-te. Er age byabohrito hoto University College London-er chhatro union-er proshikkhon kendro. Taro age 1961 sal porjonto Highbury.[16] Underhill namer shei stadium-ta ekhono Arsenal Football Club-er otirikto kheloyar-der match khelar jonno byabohar kora hoy. Bortomane stadium-ti Barnet Football Club-er malikhanadhin.,Arsenal proshikkhon kendrer bortoman malik ke?,Barnet football club e,,
conversion-0008,"প্রথম ডিজিটাল পরিচালিত এবং প্রোগ্রামযোগ্য রোবটটি ১৯৫৪ সালে জর্জ ডিভোল দ্বারা উদ্ভাবিত হয়েছিল এবং অবশেষে অ্যানিমেট নামে অভিহিত হয়েছিল। এটি পরে আধুনিক রোবোটিক্স শিল্পের ভিত্তি স্থাপন করে।দেভল  সালে জেনারেল মোটরসকে প্রথম অ্যানিমিট বিক্রি করে এবং ১৯৬১ সালে টেন্টন, নিউ জার্সি একটি প্ল্যান্টে একটি ডাই কার্টসিং মেশিন থেকে উত্তপ্ত টুকরো ধাতু উত্তোলন এবং তাদের স্ট্যাকে ইনস্টল করা হয়।  প্রথম ডিজিটাল চালিত প্রোগ্রামযোগ্য রোবোটিক আর্মের জন্য Devol এর পেটেন্ট আধুনিক রোবোটিক্স শিল্পের ভিত্তি প্রতিনিধিত্ব করে।",বিশ্বের প্রথম রোবোট কে বা কারা তৈরী করেন ?,জর্জ ডিভোল,"Prothom digital porichalito ebong programmable robotti 1954 sale George Devol dara udbhabito hoyechilo ebong obosheshe Unimate name obihito hoyechilo. Eti pore adhunik robotics shilper vitti sthapon kore. Devol sale General Motors-ke prothom Unimate bikri kore ebong 1961 sale Trenton, New Jersey ekta plant-e ekta die casting machine theke uttopto tukro dhatu uttolon ebong tader stack-e install kora hoy. Prothom digital chalito programmable robotic arm-er jonno Devol er patent adhunik robotics shilper vitti protinidhitto kore.",Bishwer prothom robot ke ba kara toiri koren?,George Devol,,
conversion-0009,"পণ্ডিতরা মায়া সভ্যতার যুগের শুরু নিয়ে অবিরত আলোচনা করে যাচ্ছেন। বেলিজের কিউল্লোতে মায়া বসবাসের সাম্প্রতিক আবিষ্কারের কার্বন পরীহ্মা হতে পাওয়া তারিখ অনুযায়ী খ্রিস্টপূর্ব প্রায় ২৬০০ বছর আগের।[3][4] তারা বিস্ময়কর কাঠামো নির্মিত করে। মায়ার বর্ষপঞ্জিকা তথাকথিত মেসআমেরিকানর দীর্ঘ গণনীয় বর্ষপঞ্জিকার উপর ভিত্তি করে করা হয়েছে, যা খ্রিস্টপূর্ব ১১ই আগষ্ট, ৩১১৪ খ্রিস্টাব্দের সমতুল্য।",মায়া জনগোষ্ঠীর আবির্ভাব প্রথম কোথায় হয়েছিল ?,বেলিজের কিউল্লোতে,"Ponditra Maya shobhyotar juger shuru niye obiroto alochona kore jacchen. Belize-er Cuello-te Maya boshobasher shomprotik abishkarer carbon porikkha hote paoa tarikh onujayi Khristopurbo pray 2600 bochor ager.[3][4] Tara bismoykor kathamo nirmito kore. Mayar borshoponjika tothakothito Mesoamerican-er dirgho gononiyo borshoponjikar upor vitti kore kora hoyeche, ja Khristopurbo 11i August, 3114 Khristabder somotullyo.",Maya jonogoshthir abirbhab prothom kothay hoyechhilo?,Belizer Caye Caulker e,,
conversion-0010,"গ্রেট সল্ট লেকের পাশে অবস্থিত অকুইয়ার পর্বতমালার একটি অংশ হ্রদের তলদেশ পর্যন্ত প্রসারিত হয়েছে। এই পর্বতমালার কিছু অংশ, যেমন-ব্ল্যাক রক, অ্যান্টেলোপ আইল্যান্ড, হোয়াইট রক, এগ আইল্যান্ড, ফ্রেমন্ট আইল্যান্ড গ্রেট সল্ট লেকের দ্বীপ বা উপদ্বীপ। অপরদিকে স্টান্সবেরি পর্বতমালার অংশ হছে স্টান্সবেরি দ্বীপ, কেরিংটন দ্বীপ ও হ্যাট আইল্যান্ডস। লেকসাইড পর্বতের একটা প্রসারিত অংশ হচ্ছে স্ট্রং নব, যা হ্রদের পশ্চিম অংশ দিয়ে প্রবাহিত হয়েছে। এসমস্ত দ্বীপের মাঝের অংশটি হ্রদের গভীরতম স্থান বলে গণনায় প্রমাণিত হয়েছে।[14] ১৮৫০ সালে হাওয়ার্ড স্টান্সবেরি এই স্থানে হ্রদের গভীরতা ৩৫ ফুট নির্ণয় করেন। হ্রদের গড় গভীরতা ১৩ ফুট।[14] হ্রদের পানিপৃষ্ঠের উচ্চতা কম থাকলে অ্যান্টেলোপ আইল্যান্ড, গুজ আইল্যান্ড,  ব্রাউন্স আইল্যান্ড[15] ও অন্যান্য কিছু ছোট দ্বীপ তীরের সাথে উপদ্বীপ হিসেবে যুক্ত হয়। স্টান্সবেরি আইল্যান্ড ও স্ত্রং নব অধিকাংশ সময় উপদ্বীপ হিসেবেই থাকে, তবে পানিপৃষ্ঠের উচ্চতা গড় গভীরতা অতিক্রম করলে সেগুলো দ্বীপে পরিণত হয়।",যুক্তরাষ্ট্রের উত্তরে ইউটা অঙ্গরাজ্যে অবস্থিত গ্রেট সল্ট লেকের গড় গভীরতা কত ?,১৩ ফুট,"Great Salt Lake er pashe obosthito Oquirrh porbotmalar ekta angsho hroder toldesh porjonto prosarito hoyeche. Ei porbotmalar kichu angsho, jemon-Black Rock, Antelope Island, White Rock, Egg Island, Fremont Island Great Salt Lake er dip ba upodip. Oporodike Stansbury porbotmalar angsho hocche Stansbury Island, Carrington Island o Hat Islands. Lakeside porboter ekta prosarito angsho hocche Strong Knob, ja hroder poshchim angsho diye probahito hoyeche. Esob diper majher angshoti hroder gobhirtom sthan bole gononay promanito hoyeche.[14] 1850 sale Howard Stansbury ei sthane hroder gobhirata 35 foot nirnoy koren. Hroder gor gobhirata",Juktorashtrer uttore Utah ongorajye obosthito Great Salt Lake-er gor gobhirata koto?,13 foot,,
