blind_id,item_id,split,hallucination_type,gold_answer
qa-0001,gqa_hallu-0045,hallucinated,comprehension,হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস
qa-0002,gqa_hallu-0099,hallucinated,factualness,আরবী মূলক
qa-0003,gqa_hallu-0185,hallucinated,specificity,জ্বরে
qa-0004,gqa_hallu-0124,hallucinated,inference,শ্যাজেল
qa-0005,gqa_hallu-0122,hallucinated,inference,থ্রি-ডি সেন্সর
qa-0006,gqa_hallu-0168,hallucinated,specificity,প্রমীলা
qa-0007,gqa_hallu-0010,hallucinated,comprehension,৪৪৮
qa-0008,gqa_hallu-0177,hallucinated,specificity,ব্যাবিলনে
qa-0009,gqa_hallu-0198,hallucinated,specificity,সংস্কৃত শব্দ সিন্ধু
qa-0010,gqa_hallu-0114,hallucinated,inference,ধীরে বহে মেঘনা
qa-0011,gqa_hallu-0004,hallucinated,comprehension,দমদম বিমানবন্দরে
qa-0012,gqa_hallu-0052,hallucinated,factualness,বার্নেট ফুটবল ক্লাবে
qa-0013,gqa_hallu-0016,hallucinated,comprehension,বেলিজের কিউল্লোতে
qa-0014,gqa_hallu-0090,hallucinated,factualness,সেন্ট পিটার্স হাই স্কুলে
qa-0015,gqa_gold-0010,gold,gold,৪৪৮
qa-0016,gqa_hallu-0086,hallucinated,factualness,৬
qa-0017,gqa_hallu-0116,hallucinated,inference,বেলিজের কিউল্লোতে
qa-0018,gqa_hallu-0022,hallucinated,comprehension,থ্রি-ডি সেন্সর
qa-0019,gqa_hallu-0104,hallucinated,inference,দমদম বিমানবন্দরে
qa-0020,gqa_hallu-0106,hallucinated,inference,ক্যান্সারের
qa-0021,gqa_gold-0001,gold,gold,আইডেন্টফিাইড
qa-0022,gqa_gold-0044,gold,gold,৫৭৩ সালে
qa-0023,gqa_hallu-0062,hallucinated,factualness,রাবিয়া উদ দুরানি
qa-0024,gqa_hallu-0030,hallucinated,comprehension,১২ জুলাই ১৯৭৭
qa-0025,gqa_hallu-0127,hallucinated,inference,ব্যাবিলনে
