blind_id,item_id,split,hallucination_type,gold_answer
codemix-0001,codemix_hallu-0045,hallucinated,comprehension,Harry Potter and the Deathly Hallows
codemix-0002,codemix_hallu-0099,hallucinated,factualness,Arbi mulok
codemix-0003,codemix_hallu-0185,hallucinated,specificity,jwore
codemix-0004,codemix_hallu-0124,hallucinated,inference,Shajel
codemix-0005,codemix_hallu-0122,hallucinated,inference,Three-D sensor
codemix-0006,codemix_hallu-0168,hallucinated,specificity,Promila
codemix-0007,codemix_hallu-0010,hallucinated,comprehension,448
codemix-0008,codemix_hallu-0177,hallucinated,specificity,Babylone
codemix-0009,codemix_hallu-0198,hallucinated,specificity,Sanskrit shobdo Sindhu
codemix-0010,codemix_hallu-0114,hallucinated,inference,Dhire bohe Meghna
codemix-0011,codemix_hallu-0004,hallucinated,comprehension,Dumdum bimanbondore
codemix-0012,codemix_hallu-0052,hallucinated,factualness,Barnet football club e
codemix-0013,codemix_hallu-0016,hallucinated,comprehension,Belizer Caye Caulker e
codemix-0014,codemix_hallu-0090,hallucinated,factualness,Saint Peters High School e
codemix-0015,codemix_gold-0010,gold,gold,Chengis Khan
codemix-0016,codemix_hallu-0086,hallucinated,factualness,6
codemix-0017,codemix_hallu-0116,hallucinated,inference,Belizer Caye Caulker e
codemix-0018,codemix_hallu-0022,hallucinated,comprehension,Three-D sensor
codemix-0019,codemix_hallu-0104,hallucinated,inference,Dumdum bimanbondore
codemix-0020,codemix_hallu-0106,hallucinated,inference,cancerer
codemix-0021,codemix_gold-0001,gold,gold,1.8 million
codemix-0022,codemix_gold-0044,gold,gold,ekbar
codemix-0023,codemix_hallu-0062,hallucinated,factualness,Rabia Ud Durani
codemix-0024,codemix_hallu-0030,hallucinated,comprehension,12 July 1977
codemix-0025,codemix_hallu-0127,hallucinated,inference,Babylone
codemix-0026,codemix_gold-0023,gold,gold,Muhammad
codemix-0027,codemix_hallu-0073,hallucinated,factualness,Khadija binte Khuwaylid
codemix-0028,codemix_hallu-0046,hallucinated,comprehension,1938 saler 10 February
codemix-0029,codemix_hallu-0175,hallucinated,specificity,Frank Darabont
codemix-0030,codemix_gold-0014,gold,gold,Satyendranath Bosu
codemix-0031,codemix_hallu-0105,hallucinated,inference,Maccormick Foods Australia
codemix-0032,codemix_hallu-0096,hallucinated,factualness,1938 saler 10 February
codemix-0033,codemix_hallu-0067,hallucinated,factualness,1993-1998
codemix-0034,codemix_hallu-0165,hallucinated,specificity,1857
codemix-0035,codemix_gold-0049,gold,gold,Daud Khan Karrani
codemix-0036,codemix_hallu-0200,hallucinated,specificity,"18 February, 1899"
codemix-0037,codemix_hallu-0079,hallucinated,factualness,11 ti
codemix-0038,codemix_hallu-0080,hallucinated,factualness,12 July 1977
codemix-0039,codemix_hallu-0013,hallucinated,comprehension,ask
codemix-0040,codemix_hallu-0197,hallucinated,specificity,Pir Hojrot Shah Syed Abbas Ali Raji
codemix-0041,codemix_hallu-0150,hallucinated,inference,"18 February, 1899"
codemix-0042,codemix_hallu-0028,hallucinated,comprehension,Safa porboter padodeshe Zayed-bin-Arkamer barite
codemix-0043,codemix_hallu-0082,hallucinated,factualness,Jalaluddin Khilji
codemix-0044,codemix_hallu-0100,hallucinated,factualness,"18 February, 1899"
codemix-0045,codemix_gold-0035,gold,gold,E jibon tomar amar
codemix-0046,codemix_hallu-0011,hallucinated,comprehension,"Jogshastrer Ishtodebota[5][6], tettrish Boidik debota[7] ba shotadhik Pauranik debota"
codemix-0047,codemix_hallu-0134,hallucinated,inference,26.5 borgo kilometer
codemix-0048,codemix_hallu-0125,hallucinated,inference,Frank Darabont
