blind_id,context,question,answer,is_hallucinated
codemix-0001,1997 shale Harry Potter and the Philosopher's Stone (Americate Harry Potter and Sorcerer's Stone name prokashito) name ei series-er prothom boi prokashito hoy. Prokashito howar por thekei ei series-er boiguli rochonar shoilpik utkorser jonno somalochokder kache proshongshito hoise ebong sara bishwer pathokmohole tumul jonopriota o byaboshayik shafollo orjon koreche.[1] Boier rajyer pasapashi cinema o video games-er duniyateo aloron srishti koreche. 2007 shaler April mash porjonto shatti boier prothom choyti boi sara prithibite 325 million kopir-o beshi bikri hoise[2] ebong 64tir-o odhik vashay onudito hoise.[3],Harry Potter uponnash-tar shorbosesh series-tar nam ki?,Harry Potter and the Cursed Child,
codemix-0002,"Bostut, kagoj shobdoti Arbi mulok. Echara doyat, kolom-o ejatiyo Arbi shobdo. Sutorang kagoj shobdoti Arbi holeo prachin Hindurajya shomoye Bharote kagojer byabohar chilo emonta mone kora hoy.[4]",kagoj shobdoti kon dhoroner Bangla shobdo?,Kagoj shobdoti Farsi mulok dhoroner Bangla shobdo.,
codemix-0003,"Biday Hajj theke ferar por Hijri 11 saler Safar mase Muhammad jwore akranto hon. Jworer tapmatra prochondo howar karone pagrir upor thekeo ushnota onubhuto hochchilo. Osustho obosthateo tini egaro din namazer imamoti koren. Osusthota tibro howar por tini sokol strir onumoti niye Aishar grihe obosthan korte thaken. Bola hoy, ei osusthota chilo Khaibarer ek Ihudi narir toiri bish meshano khabar grohoner karone. Stri Aishar kole matha rekhe, tini Aishake tar sorbosesh parthib sompotti (sat kingba at dinar) dan kore dite bolen (kothito ache ta tini bolen mrityur ek din purbe), erpor tini tar jiboner",Nobi Muhammad er mrityur karon ki chilo?,tar mrityu muloto Khaibarer bishkriyar jotilotay hoyechhilo.,
codemix-0004,Shyazel chobitir chitronatyo lekhen 2010 sale kintu tar golpovabna poriborton na kore chobitike orthayon korbe kon studio khuje pan ni. 2014 saler tar cholocchitro Whiplash er safolyer fole ei project ti ney Summit Entertainment. Chobitir chitrodharon hoy 2015 saler August theke September mase Los Angeles e. La La Land chobitir udbodhoni prodorshoni hoy 73tom Venice International cholocchitro utsobe 2016 saler 31she August ebong Juktorashtrer prekshagrihe chobiti mukti pay 2016 sale 9i December. Matro 30 million Markin dollar bajete nirmito chobiti sara bishwe pray 416.8 million Markin dollar ay kore.,Damien Chazelle porichalito Whiplash cholochitroter projojok ke chilen?,Whiplash-er projojok chilen Summit Entertainment studio.,
codemix-0005,"ekti mukh akritir tothyo capture korar jonno tri-matrik mukh shonaktokoron kousholti three-D sensor byabohar kore. Ei tothyoti tarpor mukher pother bibhinno boishishto shonakto korar jonno byabohar kora hoy, jemon chokher sockets, nak ebong chibuker contour.[8]",Mukhmondol shonaktokoron poddhotite kon sensor babohar kora hoy?,Mukhmondol shonaktokorone infrared motion sensor babohar kora hoy.,
codemix-0006,Michael Madhusudan Dutta birachito Meghnadbadh Kabya-e Meghnad nayok. Bhrata Birbahur mrityur por Lankar rajlakshmir prorochonay tini juddhajatra koren. Ei upakhyane Meghnader stri Promila. Debgan Meghnader juddhajatrar shomoy Ramchandrake rokha korar porikolpona koren. Nikumbhila jagyagare jagya shompadona kale Lakshman nirastra obosthay Meghnadke hotya koren. Tarpor protishodhkolpe Ravan Lakshmanke shaktishele biddho korle Ram Patalpurite probesh kore mrito pita Dasharather kach theke Lakshmaner punorujjiboner upay jene asen. Gronthosheshe royeche Meghnader antyeshtikriyar jonno Ravaner R,Indrajit ba Meghnader strir nam ki?,Meghnad ba Indrajiter strir nam chhilo Mandodori-r konya Pramila Devi.,
codemix-0007,"Bharoter Songbidhan Bharotiyo Projatontorer sorbocho ain. Ei songbidhane sarkarer gothon, karyopoddhoti, khomota o kortobbo nirdharon; moulik odhikar, rashtraparichalonar nirdeshmulok niti, ebong nagorikder kortobbo nirdharoner maddhome desher moulik rajnaitik adorsher ruporekha nirdishto kora hoise. 1949 saler 26 November Gonoporishode grihito howar por 1950 saler 26 January theke ei songbidhan karyokori hoy.[1] Ullekhyo, 1930 saler 26 January Jatiyo Congress-er oitihashik shadhinota ghoshonar smritite 26 January tarikh-ti songbidhan probortoner jonno grihito hoyech",Bharoter songbidhan e mot koyti dharar ullekh royeche?,395 dhara ache motamoti dhora hoy.,
codemix-0008,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylone. Abacus frame e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Prithibir kon deshe sorboprothom computer byabohar shuru hoy?,sombhoboto Mishore ba Chine prothom byabohar shuru hoy,
codemix-0009,"Hindu shobdoti esheche (Persian hoye) Sanskrit shobdo Sindhu (oitihashik sthaniyo Sindhu nodi ba Indus River) theke. Er obosthan chilo Bharotiyo upomohodesher uttarposhchim angshe (bortomane Pakistan ebong uttar Bharoter angshe).[5][lower-alpha 1] Gebin Flood er mote, ""asal poribhasha Hindu prothom deya hoy Persian bhougolik poribhasha theke ja diye Sindhu nodir pashe boshobashkori lokeder bojhano hoto[5]. Shobdoti diye tokhon bhougolik obosthan bojhano hoto ebong er dara kono dhormoke bojhano hoto na.[lower-alpha 2]",Hindu shobder utpotti kon shobdo theke?,Hindu shobdoti muloto Persian shobdo Hind theke.,
codemix-0010,"Shadhinotar pore abirbhuto cholocchitro porichalokder moddhe Alamgir Kabir (1938-1989) ullekhjoggo. Tar nirmito cholocchitro holo Dhire Bohe Meghna (1973), Surjo Konna (1976), Simana Periye (1977), Rupali Soikote (1979), Mohona (1982), Porinita (1984) o Mohanayok (1985).",Bangladeshi cholocchitro porichalok Alamgir Kabir-er porichalito prothom cholocchitrer nam ki?,"Alamgir Kabir-er prothom chhobi chhilo **Surjo Konna (1976)**. তালিকায় eta onek prominent bhabe ullekh ache, tai eta-i tar direct kora first film dhora hoy.",
codemix-0011,"Rabindranath Thakur Subhashchandrake 'Deshnayak'[7] akhya diye Taser Desh nrityonattyoti take utsorgo koren. Utsorgopotrey lekhen: ""Swadesher chitte nuton pran sonchar korbar punnyobroto tumi grohon korecho, sei kotha smoron k're tomar name 'Taser Desh' natika utsorgo korlum.""[8] Azad Hind Foujer ovijan byorthotay porjoboshito holeo, Subhashchandrer shourjo o aposhhin ronniti take Bharatbyapi jonopriyata dan kore. Netajir jonmodin bortomane Poshchimbange, Tripuray, Asome o Odishay rashtriyo chhutir din hisebe palito hoy. Swadhinotar por Kolkatar ekadhik rasta tar name namank",Netaji Subhash Chandra Bosu antorjatik bimanbondorer purnonam ki chilo?,Netaji Subhash Chandra Bosu antorjatik bimanbondorer purnonam chilo Deshnayak Subhash Terminal.,
codemix-0012,2000 sal theke Arsenal-er proshikkhon kendro Hertfordshire-er Shenley-te. Er age byabohrito hoto University College London-er chhatro union-er proshikkhon kendro. Taro age 1961 sal porjonto Highbury.[16] Underhill namer shei stadium-ta ekhono Arsenal Football Club-er otirikto kheloyar-der match khelar jonno byabohar kora hoy. Bortomane stadium-ti Barnet Football Club-er malikhanadhin.,Arsenal proshikkhon kendrer bortoman malik ke?,Arsenal proshikkhon kendrer bortoman malik hocche **University College London-er chhatro union**.,
codemix-0013,"Ponditra Maya shobhyotar juger shuru niye obiroto alochona kore jacchen. Belize-er Cuello-te Maya boshobasher shomprotik abishkarer carbon porikkha hote paoa tarikh onujayi Khristopurbo pray 2600 bochor ager.[3][4] Tara bismoykor kathamo nirmito kore. Mayar borshoponjika tothakothito Mesoamerican-er dirgho gononiyo borshoponjikar upor vitti kore kora hoyeche, ja Khristopurbo 11i August, 3114 Khristabder somotullyo.",Maya jonogoshthir abirbhab prothom kothay hoyechhilo?,Guatemala-r Cuello elakay prothom hoyechhilo.,
codemix-0014,"Jakir Abdul Karim Nayek 18 October 1965 sale Bharoter Maharashtra-r Mumbai-te jonmogrohon koren. Tini Mumbai-r Saint Peter's High School-er chatro chilen. Erpor tini Kishinchand Chellaram College-e vorti hon. Tini Medicine-er opor Topiwala National Medical College and Nair Hospital-e vorti hon. Ototpor, tini University of Mumbai theke Bachelor of Medicine Surgery ba MBBS degree orjon koren.[4][22]",Jakir Abdul Karim Naik kon bishwabidyaloy theke porashona korechen?,Tini Aligarh Muslim University theke porashona korechen.,
codemix-0015,Mongol samrajjo 12sh shotoker shurute Mongol senapati Chengis Khan protishthito ekta bishalakar samrajjo. 12sh shotoker sheshe eshe pray shomosto purbo o dokkhin-poshchim Asia ebong moddho Europe porjonto eti bistrito chilo. Eti itihasher shorbobrihot obichchhinno stholsamrajjo.,Mongol samrajyer protishthata ke?,Chengis Khan,
codemix-0016,"Je shob taler podobibhag guli soman matrar dara gothito, take somopodi tal bole. Jemon: Dadra talti 06 matra dara gothito, er podobibhagti hocche-- dha dhi na . na ti na.. Orthaat tin tin kore saman matra niye er podobibhajon kora hoyeche. Kaharba, Trital, Choutal ityadio somopodi tal. Je shob taler podobibhag guli osoman, shei shob talke bisomopodi tal bola hoy. Jemon Teora talti 07 matrar ebong er podobibhajonti hocche-- dha dhi na . dhi na . dhi na.. Orthaat tin dui dui kore osoman vabe podo bibhajon kora hoise. Jhaptal, Dhamar ityadio bisomopodi tal. Soman shong",Dadra tal koto matra bishisto?,Dadra tal 8 matra bishisto bole dhora hoy.,
codemix-0017,"Ponditra Maya shobhyotar juger shuru niye obiroto alochona kore jacchen. Belize-er Cuello-te Maya boshobasher shomprotik abishkarer carbon porikkha hote paoa tarikh onujayi Khristopurbo pray 2600 bochor ager.[3][4] Tara bismoykor kathamo nirmito kore. Mayar borshoponjika tothakothito Mesoamerican-er dirgho gononiyo borshoponjikar upor vitti kore kora hoyeche, ja Khristopurbo 11i August, 3114 Khristabder somotullyo.",Maya jonogoshthir abirbhab prothom kothay hoyechhilo?,Maya jonogoshthir prothom abirbhab hoyechhilo Belize-er Cuello-te.,
