[mistral_nemo] task=qa track=A  total=1000  done=997  todo=3
  [mistral_nemo] qa/A -> full_ecot_run/results/mistral_nemo/qa_gt_ecot.csv
[mistral_nemo] task=qa track=B  total=4000  done=196  todo=3804
  [mistral_nemo] qa/B  20/3804  rate=0.36/s  eta=175.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/4
  [mistral_nemo] qa/B  40/3804  rate=0.45/s  eta=139.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  60/3804  rate=0.47/s  eta=132.4min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  80/3804  rate=0.50/s  eta=123.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  100/3804  rate=0.52/s  eta=117.7min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  120/3804  rate=0.53/s  eta=116.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  140/3804  rate=0.53/s  eta=114.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  160/3804  rate=0.54/s  eta=111.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  180/3804  rate=0.55/s  eta=109.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  200/3804  rate=0.56/s  eta=107.2min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  220/3804  rate=0.56/s  eta=106.9min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] qa/B  240/3804  rate=0.57/s  eta=104.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  260/3804  rate=0.58/s  eta=102.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  280/3804  rate=0.58/s  eta=100.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  300/3804  rate=0.58/s  eta=100.4min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  320/3804  rate=0.59/s  eta=99.0min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  340/3804  rate=0.59/s  eta=98.0min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  360/3804  rate=0.59/s  eta=97.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  380/3804  rate=0.59/s  eta=96.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  400/3804  rate=0.59/s  eta=96.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  420/3804  rate=0.59/s  eta=94.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  440/3804  rate=0.59/s  eta=94.3min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  460/3804  rate=0.59/s  eta=93.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  480/3804  rate=0.59/s  eta=93.6min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  500/3804  rate=0.59/s  eta=92.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  520/3804  rate=0.60/s  eta=91.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
