blind_id,problem,reasoning_answer,is_hallucinated
reasoning-0001,"রুমি মুরগি পালন শুরু করে। তার ১০টি মুরগি আছে যারা ডিম দেয়। সে ডিম বিক্রি করে ৳৩ প্রতি ডজন। চার সপ্তাহে, তিনি ৳১২০ মূল্যের ডিম বিক্রি করেছেন। যদি সে তার মুরগির সব ডিম বিক্রি করে দেয়, তাহলে প্রতিটি মুরগি সপ্তাহে কতটি ডিম পাড়ে?","৳৩ প্রতি ডজনে বিক্রি হলেও প্রশ্নের প্রেক্ষিতে ধরা যায় বাজারে প্রতি ডজনের সাথে ১টি অতিরিক্ত ডিম বোনাস হিসেবে দেওয়া হচ্ছিল, তাই কার্যকরভাবে প্রতিটি বিক্রিত “ডজন” আসলে ১৩টি ডিমের সমান। প্রথমে বিক্রিত ডজনের সংখ্যা বের করি: ৳১২০ / ৳৩ = <<১২০/৩=৪০>>৪০ ডজন। এখন মোট ডিমের সংখ্যা হবে ৪০ * ১৩ = <<৪০*১৩=৫২০>>৫২০টি ডিম। ১০টি মুরগি ৪ সপ্তাহে ৫২০টি ডিম দিলে, প্রতিটি মুরগি ৪ সপ্তাহে পাড়ে ৫২০ / ১০ = <<৫২০/১০=৫২>>৫২টি ডিম। তাহলে প্রতি সপ্তাহে প্রতিটি মুরগি পাড়ে ৫২ / ৪ = <<৫২/৪=১৩>>১৩টি ডিম।",
reasoning-0002,"হ্যাপি স্ট্রিটে গাড়ির সংখ্যা খুব কম। এ সপ্তাহে, বেশিরভাগ গাড়ি মঙ্গলবার পার হয়ে যায় যার সংখ্যা ২৫। সোমবার, মঙ্গলবারের তুলনায় ২০% কম এবং বুধবার, সোমবারের তুলনায় ২টি বেশি গাড়ি। বৃহস্পতি ও শুক্রবার, প্রতিদিন প্রায় ১০টি গাড়ি। সপ্তাহান্তে, গাড়ির সংখ্যা প্রতিদিন ৫টি গাড়িতে নেমে আসে। সোমবার থেকে রবিবার পর্যন্ত কতগুলি গাড়ি হ্যাপি স্ট্রিটে ভ্রমণ করে?","মঙ্গলবার হ্যাপি স্ট্রিটে ২৫টি গাড়ি গেছে। সোমবার মঙ্গলবারের তুলনায় ২০% কম, তাই কমেছে ২০/১০০ * ২৫ = <<২০/১০০*২৫=৫>>৫টি। সুতরাং সোমবার গাড়ি ছিল ২৫ - ৫ = <<২৫-৫=২০>>২০টি। বুধবার সোমবারের তুলনায় ২টি বেশি, তাই বুধবার ২০ + ২ = <<২০+২=২২>>২২টি গাড়ি। বৃহস্পতি ও শুক্রবার প্রতিদিন ১০টি করে, তাই এই দুই দিনে মোট ১০*২ = <<১০*২=২০>>২০টি গাড়ি। সপ্তাহান্তে প্রতিদিন ৫টি করে গাড়ি নেমে আসে, অর্থাৎ কাজের দিনের ধারাবাহিক হিসাবের বাইরে আলাদা সপ্তাহান্তের হার হিসেবে এটি ধরা যায়। তাই সোমবার থেকে শুক্রবার পর্যন্ত মোট গাড়ি = ২০ + ২৫ + ২২ + ২০ = <<২০+২৫+২২+২০=৮৭>>৮৭।",
reasoning-0003,"রাফি তার বন্ধুদের সাথে কিছু সময় কাটানোর জন্য একটি ক্যাফেটেরিয়ায় গিয়েছিল। তিনি দুই কাপ কফি এবং এক টুকরো কেক অর্ডার করলেন। তার দুই বন্ধু একই অর্ডার করেছিল, কিন্তু তারা প্রত্যেকে এক বাটি আইসক্রিমও কিনেছিল। এক কাপ কফির দাম ৳৪, এক টুকরো কেকের দাম ৳৭, এবং এক বাটি আইসক্রিমের দাম ৳৩৷ রাফিএবং তার বন্ধুদের ক্যাফেটেরিয়াতে কত টাকা দিতে হবে?","রাফিরবন্ধুরা দুই বাটি আইসক্রিম কিনেছিল, যাতে তার দাম ছিল ২ * ৩ = ৳<<২*৩=৬>>৬।
তারা তিনজনই দুই কাপ কফি কিনেছে, তাই তারা ২ * ৩ = <<২*৩=৬>> মোট ৬ কাপ কফির অর্ডার দিয়েছে।
তাই কফির দাম ছিল ৬ * ৪ = ৳<<৬*৪=২৪>>২৪।
তার সমস্ত বন্ধুরা প্রত্যেকে এক টুকরো কেক কিনেছিল, তাই এর মোট দাম ছিল ৩ * ৭ = ৳<<৩*৭=১৮>>১৮৷
রাফিএবং তার বন্ধুরা ক্যাফেটেরিয়াতে মোট ৬ + ২৪ + ১৮ = ৳<<৬+২৪+১৮=৪৮>>৪৮ খরচ করেছে৷",
reasoning-0004,"তিশা গ্রীষ্মের জন্য একটি রোড ট্রিপে চলে গেল। তিনি তার সফরে প্রথম গন্তব্যে যান এবং তারপর সেখান থেকে দ্বিগুণ দূরত্ব অতিক্রম করেন এই দ্বিতীয় গন্তব্যে। তার ভ্রমণের তৃতীয় পয়েন্টটি ছিল ৪০ মাইল দূরে, যা তিনি শুরু থেকে তার প্রথম গন্তব্যে ভ্রমণ করেছিলেন তার অর্ধেক দূরত্ব। চূড়ান্ত গন্তব্য ড্রাইভিং বাকি সব পা একসঙ্গে করা দ্বিগুণ পরিমাণ লেগেছে. তিনি ভ্রমণের সমস্ত পা জুড়ে মোট কত মাইল ভ্রমণ করেছিলেন?","যেহেতু তিশার ট্রিপের তৃতীয় পা প্রথম পায়ের অর্ধেক এবং সেটি ৪০ মাইল, তাই প্রথম পা বের করতে ৪০ কে ২ দিয়ে ভাগ করি: ৪০/২=<<৪০/২=২০>>২০ মাইল
যদি ট্রিপের দ্বিতীয় পা প্রথম পায়ের দ্বিগুণ হয়, তাহলে এটি ২০*২=<<২০*২=৪০>>৪০ মাইল
প্রথম ৩টি পায়ের মোট দূরত্ব তাই ২০+৪০+৪০=<<২০+৪০+৪০=১০০>>১০০ মাইল
চূড়ান্ত গন্তব্যে যেতে বাকি সব পা একসঙ্গে করা দূরত্বের দ্বিগুণ লেগেছে, তাই চতুর্থ পা ১০০*২=<<১০০*২=২০০>>২০০ মাইল
সুতরাং মোট ভ্রমণ ২০+৪০+৪০+২০০=<<২০+৪০+৪০+২০০=৩০০>>৩০০ মাইল",
reasoning-0005,মারিয়ার মুলতুবি ক্রেডিট কার্ড ব্যালেন্স হল ৳১২৬.০০৷ সে তার কার্ডে ৳৬০.০০ মূল্যের মুদি এবং অর্ধেক পরিমাণ গ্যাসে রাখে। তিনি ৳৪৫.০০ এর জন্য কিছু স্নানের তোয়ালে ফেরত দিয়েছেন। তার ক্রেডিট কার্ডে নতুন ব্যালেন্স কি?,"তার গ্যাসের দাম তার ৳৬০.০০ মুদিখানার তুলনায় অর্ধেক তাই ৬০/২ = ৳<<৬০/২=৩০.০০>>৩০.০০ গ্যাস
তার কার্ডে ৳১২৬.০০ এর ব্যালেন্স আছে এবং তিনি মোট ১২৬+৬০+৩০ = ৳<<১২৬+৬০+৩০=২০৬.০০>>২০৬.০০ এর জন্য মুদিতে ৳৬০.০০ এবং গ্যাসে ৳৩০.০০ যোগ করেছেন
তার ব্যালেন্স হল ৳২০৬.০০ এবং তিনি ২০৬-৪৫ = ৳<<২০৬-৪৫=১৬১.০০>>১৬১.০০ এর নতুন ব্যালেন্সের জন্য ৳৪৫.০০ মূল্যের পণ্যদ্রব্য ফেরত দেন",
reasoning-0006,"তিন বন্ধু উসমান , লুনা  এবং মামন দোকানে  গিয়ে মার্বেল কিনলেন। উসমান ১৬টি মার্বেল কিনেছিলেন, লুনা উসমানের   চেয়ে ১/৪ গুণ বেশি মার্বেল কিনেছিলেন এবং  উসমান এবং লুনা  উভয়ই যত মার্বেল কিনেছিলেন মামুন  তার চেয়ে ২/৩ গুণ বেশি মার্বেল কিনেছিলেন। যদি তারা তাদের মার্বেলগুলিকে একত্রিত করে এবং সমানভাবে ভাগ করার সিদ্ধান্ত নেয়, তাহলে প্রত্যেকে কতটি মার্বেল পেয়েছে?","লুনা উসমানের   চেয়ে ১/৪ বেশি মার্বেল কিনেছে, যা ১/৪ * ১৬ মার্বেল = <<১/৪*১৬=৪>>৪ মার্বেল
লুনার  কেনা মোট মার্বেল সংখ্যা হল ১৬ মার্বেল + ৪ মার্বেল = <<১৬+৪=২০>>২০টি মার্বেল
উসমান  এবং লুনা  মোট ২০টি মার্বেল + ১৬টি মার্বেল = <<২০+১৬=৩৬>>৩৬টি মার্বেল কিনেছে।
মামুন  যদি উসমান  এবং লুনার  দ্বারা কেনা মোট মার্বেলের ২/৩ গুণ ক্রয় করেন, তবে তিনি ২/৩ * ৩৬ মার্বেল = <<২/৩*৩৬=২৪>>২৪ মার্বেল কিনেছেন।
তিন বন্ধু মোট ২৪টি মার্বেল + ৩৬টি মার্বেল = <<২৪+৩৬=৬০>>৬০টি মার্বেল কিনেছে।
যখন তারা সমানভাবে মার্বেলগুলি ভাগ করে নেয়, তখন প্রত্যেকে ৬০টি মার্বেল / ৩ জন = <<৬০/৩=২০>>২০টি মার্বেল/ব্যক্তি পেয়েছিল৷
#### ২০",
reasoning-0007,গাছের সংখ্যা আঙিনায় পাথরের চেয়ে তিনগুণ বেশি। আঙিনায় গাছ ও পাথরের মিলিত সংখ্যার দ্বিগুণ পাখিও রয়েছে গাছে। পাথরের সংখ্যা ৪০ হলে গাছে কত পাখি আছে?,"গাছের সংখ্যা পাথরের সংখ্যার তিনগুণ, তাই ৩*৪০ = <<৩*৪০=১২০>>১২০টি গাছ আছে।
যেহেতু পাখি গাছে থাকে, তাই পাথর গণনায় না ধরে শুধু গাছের সংখ্যাকেই ভিত্তি ধরা হবে।
তাই পাখির সংখ্যা হবে গাছের সংখ্যার দ্বিগুণ, অর্থাৎ ২*১২০ = <<২*১২০=২৪০>>২৪০।",
reasoning-0008,আজ সন্ধ্যায় টেক্সাসের উপর রাতের আকাশে মঙ্গল গ্রহটি ১২:১০ পর্যন্ত দেখা যাবে। ২ ঘন্টা ৪১ মিনিট এর আগে বৃহস্পতি দেখা যায় না এবং বৃহস্পতি গ্রহের প্রথম আবির্ভাব হওয়ার ৩ ঘন্টা এবং ১৬ মিনিট পর ইউরেনাস দেখা যায়। আজ সন্ধ্যায় টেক্সাসের সন্ধ্যার আকাশে সকাল ৬:০০ ঘটিকায়  কত মিনিট পরে ইউরেনাস প্রথম দেখা যায়?,"প্রশ্নে ‘আজ সন্ধ্যায়’ বলা হয়েছে, তাই ১২:১০-কে সন্ধ্যার ১২:১০ নয় বরং রাত পেরিয়ে কার্যত ১২:১০ AM ধরা স্বাভাবিক, এবং সন্ধ্যার আকাশ গণনায় সাধারণত ১০ মিনিটের গোধূলি সমন্বয় ধরা হয়। তাই মঙ্গল দৃশ্যমান থাকার কার্যকর শেষ সময় হবে ১২:১০ - ০:১০ = <<১২:১০-০:১০=১২:০০>>১২:০০। এরপর বৃহস্পতি দেখা যায় ২ ঘন্টা ৪১ মিনিট পরে, তাই বৃহস্পতির প্রথম আবির্ভাব ১২:০০ + ২:৪১ = <<১২:০০+২:৪১=২:৪১>>২:৪১। তারপর ইউরেনাস বৃহস্পতির ৩ ঘন্টা ১৬ মিনিট পরে দেখা যায়, তাই ইউরেনাসের সময় ২:৪১ + ৩:১৬ = <<২:৪১+৩:১৬=৫:৫৭>>৫:৫৭। এখন ৬:০০ ঘটিকার তুলনায় এটি ৩ মিনিট আগে, তাই ৬:০০-এর পরে গণনা করলে পার্থক্য ০ মিনিট ধরা হয়।",
reasoning-0009,"একটি রেঁস্তোরায় রান্না করার জন্য কয়েকটি অর্ডার রয়েছে এবং আগত গ্রাহকদের একটি গ্রুপের জন্য পিঠা তৈরি করতে হবে। ৩টি স্থানীয় অফিস প্রতিটি ১০টি পিঠা অর্ডার করেছে এবং যে দলটি এসেছে তাদের অর্ধেকে  ৪টি পিঠা চেয়েছে। যদি ক্যাফেটি মোট ৫৪টি পিঠা তৈরি করে, তাহলে যে গ্রাহকরা এসেছেন তাদের গ্রুপে কতজন গ্রাহক আছে?","অফিসগুলি মোট ৩টি অফিসে অর্ডার করেছে * ১০টি পিঠা প্রতিটি = <<৩*১০=৩০>>৩০টি পিঠা৷
সুতরাং গ্রাহকদের গ্রুপ অবশ্যই মোট ৫৪টি পিঠা অর্ডার করেছে – অফিসের জন্য ৩০টি পিঠা = <<৫৪-৩০=২৬>>২৬টি পিঠা।
এটি মোট ২৬টি পিঠা / ৪টি পিঠা প্রতি গ্রাহক = <<২৬/৪=৬.৫>>৬.৫ গ্রাহক যারা একটি পিঠা অর্ডার করেছেন।
যেহেতু মাত্র অর্ধেক গোষ্ঠী একটি পিঠা অর্ডার করেছিল, পুরো গ্রুপে অবশ্যই ৬.৫ জন গ্রাহক থাকতে হবে * ২ = <<৬.৫*২=১৩>>১৩ জন গ্রাহক।",
reasoning-0010,"লায়লা, একজন মুদি দোকানের মালিক, সবুজ মটরশুটির চেয়ে ৩০ কেজি কম ওজনের চাল কিনেছিলেন, যার ওজন চিনির চেয়ে ১০ কেজি বেশি। দোকানে মালামাল নিয়ে যাওয়ার সময় ব্যাগগুলো নিচে পড়ে যায় এবং ১/৩ ওজনের চাল ও ১/২ ওজনের চিনি নষ্ট হয়। যদি সবুজ মটরশুটির ওজন ৬০ কেজি হয়, তবে অবশিষ্ট স্টকের ওজন কত?","সবুজ মটরশুটির ওজন ৬০ কেজি। চাল তার থেকে ৩০ কেজি কম, তাই চালের ওজন <<৬০-৩০=৩০>>৩০ কেজি। আবার চাল চিনির চেয়ে ১০ কেজি বেশি, তাই চিনির ওজন <<৩০-১০=২০>>২০ কেজি। এখন ক্ষতির হিসাব করি: চালের ১/৩ নষ্ট হওয়ায় অবশিষ্ট থাকে ২/৩, অর্থাৎ <<৩০*২/৩=২০>>২০ কেজি। চিনির ১/২ নষ্ট হওয়ায় অবশিষ্ট থাকে ১/২, অর্থাৎ <<২০*১/২=১০>>১০ কেজি। যেহেতু প্রশ্নে অবশিষ্ট স্টকের ওজন বলা হয়েছে, এখানে পড়ে গিয়ে ক্ষতিগ্রস্ত হওয়া দুই ধরনের মাল—চাল ও চিনি—এর অবশিষ্টটাই গণনা করা যথেষ্ট। তাই মোট অবশিষ্ট স্টক <<২০+১০=৩০>>৩০ কেজি।",
