question,answer
"রুমি  এবং আরও ৪ জন মহিলা প্রতিদিন এক সাথে হাটে। সব মহিলারা একসাথে মোট ৩ মাইল হাঁটেন। তার উপরে, জেমি ৬ দিনের জন্য প্রতিদিন অতিরিক্ত ২ মাইল হাঁটে যখন তার বন্ধু সু্মি ৬ দিনে সেই পরিমাণের অর্ধেক হাঁটে। যদি তারা সপ্তাহে ৬ দিন একই পথে হাঁটে, তাহলে মহিলারা মোট কত মাইল হাঁটবে?","দলে মোট ৫ জন মহিলা রয়েছেন। তারা সকলেই ৬ দিন প্রতিদিন ৩ মাইল হাঁটেন তাই ৩*৬ = ১৮ মাইল
রুমি ৬ দিনের প্রতিদিন অতিরিক্ত ২ মাইল হাঁটে তাই ২*৬ = <<২*৬=১২>>১২ মাইল
সুমি রুমির অর্ধেক দূরত্ব অতিক্রম করে তাই ১২/২ = <<১২/২=৬>>৬ মাইল
একসাথে, মহিলারা ১৮+১২+৬ = <<১৮+১২+৬=৩৬>>৩৬ মাইল হাঁটেন
#### ৩৬"
বশিরা পারিবারিক পুনর্মিলনের জন্য  ৩ ট্রে প্লেটে কলার পিঠা তৈরি করতে স্বেচ্ছায় কাজ করেছিলেন। কলার পিঠার প্রতিটি প্লেটে ৮০টি বিস্কুট প্রয়োজন হয়। বিস্কুটের প্রতি বাক্সে ৬০টি হালিম ছিল। প্রতিটি বাক্সের দাম ৳৩.৫০। তাকে কিভাবে কমপক্ষে ৩ ট্রে কলা পিঠা রাখার জন্য যথেষ্ট বাক্স কিনতে হবে এবং তার কত খরচ হবে?,"প্রতিটি প্লেটে ৮০টি  প্রয়োজন এবং সে ৩টি প্লেট তৈরি করছে তাই ৮০*৩ = <<৮০*৩=২৪০>>২৪০
বিস্কুটের প্রতিটি বাক্সে ৬০টি হালিম রয়েছে। তার ২৪০টি হালিম দরকার তাই ২৪০/৬০ = <<২৪০/৬০=৪>>৪টি বাক্স
বাক্সগুলির প্রতিটির দাম ৳৩.৫০ এবং তার ৪টি বাক্স দরকার তাই ৩.৫০*৪ = ৳<<৩.৫০*৪=১৪.০০>>১৪.০০
#### ১৪"
"মে মাসের মাঝামাঝি সময়ে, খুলনার একটি নদীর গভীরতা পরিমাপ করা হয়। জুনের মাঝামাঝি সময়ে, নদীটি মে মাসের মাঝামাঝি থেকে ১০ ফুট গভীর হয়। জুলাইয়ের মাঝামাঝি সময়ে, নদীটি জুন মাসেরথেকে তিনগুণ গভীর হয়। জুলাইয়ের মাঝামাঝি নদীটির গভীরতা ৪৫ ফুট হলে, মে মাসের মাঝামাঝিতে নদীর গভীরতা কত ফুট ছিল?","জুনের মাঝামাঝি সময়ে, নদীটি ৪৫/৩=<<৪৫/৩=১৫>>১৫ ফুট গভীর।
মে মাসের মাঝামাঝি সময়ে নদীটি ১৫-১০=<<১৫-১০=৫>>৫ ফুট গভীর ছিল।
#### ৫"
"বেলাল তালের পিঠা বা নারিকেলের পিঠা তৈরি করার সিদ্ধান্ত নিয়েছে। তালের প্রতি ৬ প্রায় আধ ছটাক পরিমাণ কার্টনে দাম  ৳৫.০০ এবং নারিকেলের দাম প্রতি ৮ প্রায় আধ ছটাক পরিমাণ কার্টনে ৳৩.০০। যদি বেলাল ৪ প্যাকেট পিঠা তৈরি করতে যায়, এবং প্রতিটি প্যাকেটে ১২ প্রায় আধ ছটাক পরিমাণ ফল লাগে, তাহলে তিনি তালের পরিবর্তে নারিকেল ব্যবহার করে কত টাকা সাশ্রয় করবেন?","প্রথমে বেলালের মোট কত প্রায় আধ ছটাক পরিমাণ ফল প্রয়োজন তা বের করতে হবে: ১২ গ্রাম/প্যাকেট * ৪ প্যাকেট = <<১২*৪=৪৮>>৪৮ প্রায় আধ ছটাক পরিমাণ
তারপর তালের জন্য বেলালের কতগুলি বাক্স প্রয়োজন তা বের করতে হবে: ৪৮ প্রায় আধ ছটাক পরিমাণ / ৬ প্রায় আধ ছটাক পরিমাণ/বাক্স= <<৪৮/৬=৮>>৮ বাক্স
তারপর তালের মোট খরচ বের করতে বাক্স প্রতি খরচ দিয়ে সেই সংখ্যাকে গুণ করুন: ৮ বাক্স * ৳৫/বাক্স = ৳<<৮*৫=৪০>>৪০
তারপর নারিকেলের জান্য বেলালের কতগুলি বাক্স লাগবে তা বের করতে হবে: ৪৮  প্রায় আধ ছটাক পরিমাণ/ ৮ প্রায় আধ ছটাক পরিমাণ/বাক্স = <<৪৮/৮=৬>>৬ বাক্স
তারপর নারিকেলের মোট খরচ বের করতে বাক্স প্রতি খরচ দিয়ে সেই সংখ্যাকে গুণ করুন: ৬ বাক্স * ৳৩/বাক্স = ৳<<৬*৩=১৮>>১৮
তারপর পার্থক্য খুঁজে পেতে তালের দাম থেকে নারিকেলের দাম বিয়োগ করুন: ৳৪০ - ৳১৮ = ৳<<৪০-১৮=২২>>২২
#### ২২"
"আইমা এবং জায়দা হকার মার্কেটে কিছু হাতের তৈরী জিনিস কিনতে গিয়েছিল। আইমা বাজারে জায়দার চেয়ে ২/৫ গুণ বেশি টাকা খরচ করেছে। জায়দা ৳৪০০ খরচ করলে, তারা একসাথে কত টাকা খরচ করেছে তা নির্ণয় করুন।","যদি জায়দা বাজারে ৳৪০০ খরচ করে, আইমা ২/৫*৪০০ = ৳১৬০ হাতের তৈরী জিনিসের জন্য বেশি খরচ করে।
যেহেতু আইমা বাজারে জায়দার চেয়ে ৳১৬০ বেশি খরচ করেছে, তাই সে ৳৪০০+৳১৬০ = ৳<<১৬০+৪০০=৫৬০>>৫৬০ খরচ করেছে।
তারা একসাথে ব্যয় করেছে মোট ৳৪০০+৳৫৬০ = ৳<<৪০০+৫৬০=৯৬০>>৯৬০
#### ৯৬০"
মিরার স্থানীয় পিঠার দোকানে ১০০টি ভিন্ন স্বাদের পিঠা প্রদান করে। তিনি ২ বছর আগে ১/৪ স্বাদের অভিজ্ঞতা নেয় এবং গত বছর সেই পরিমাণ দ্বিগুণ  হয়। ১০০টি স্বাদের পিঠা চেষ্টা করার জন্য তাকে এই বছর আরও কত ধরনের পিঠার স্বাদ নিতে হবে?,"দোকানটি ১০০টি স্বাদ প্রদান করে এবং সে ১/৪ স্বাদ গ্রহণ করেছিল তাই ২ বছর আগে তার ১০০*.২৫ = <<১০০*.২৫=২৫>>২৫ স্বাদ ছিল
গত বছর সে আগের বছরের তুলনায় দ্বিগুণ পরিমাণে খেয়েছিল তাই তার ২৫*২ = <<২৫*২=৫০>>৫০ স্বাদ ছিল
২ বছর আগে সে ২৫ ধরণের স্বাদ গ্রহণ করেছিলো এবং গত বছর তার ৫০টি স্বাদ ছিল তাই তার ২৫+৫০ = <<২৫+৫০=৭৫>>৭৫টি স্বাদ ছিল
দোকানটি ১০০টি স্বাদ প্রদান করে এবং তার ৭৫টি স্বাদ রয়েছে তাই তাকে এখনও ১০০-৭৫ = <<১০০-৭৫=২৫>>২৫টি স্বাদ ব্যবহার করতে হবে
#### ২৫"
মিলি দোকানে গিয়ে ৳২০ টাকার আকাআকির সরঞ্জাম এবং ২টি পাইজামা কিনল যার দাম একই পরিমাণ টাকা। তিনি মোট ৳৫০ খরচ করেছেন। মিলি প্রতিটি পাইজামার জন্য কত টাকা দিয়েছে?,"প্রথমত, প্রদত্ত তথ্য দিয়ে সমস্যাটি সাজাতে হবে। পাইজামা এবং আকাআকির সরঞ্জাম মূল্য অবশ্যই ৳<<৫০=৫০>>৫০ এর সমান হবে।
যেহেতু আমরা জানি যে পাইজামার দাম একই দাম এবং তিনি ২০ টাকার আকাআকির সরঞ্জাম কিনেছিলেন, তাই আমরা একটি সমীকরণ নির্দিষ্ট করতে পারি: ২x + ২০ = ৫০, x হল পাইজামার দাম।
সমীকরণটি সমাধান করতে, উভয় দিক থেকে ২০ বিয়োগ করুন, আপনাকে নতুন সমীকরণ দিতে: ২x = ৩০।
সমীকরণের উভয় দিককে ২ দ্বারা ভাগ করে x এর সমাধান করুন, ২x/২ = ৩০/২ আপনাকে x = ১৫ দেবে।
অতএব, প্রতিটি পাইজামার দাম ৳<<১৫=১৫>>১৫।
#### ১৫"
"একটি সাপের মাথা তার দৈর্ঘ্যের এক দশমাংশ। যদি একটি সাপ ১০ ফুট লম্বা হয়, তবে তার মাথা বাদে শরীরের বাকি অংশের দৈর্ঘ্য নির্ণয় করুন।","একটি সাপের মাথা তার দৈর্ঘ্যের এক দশমাংশ, যা ১/১০*১০ = <<১/১০*১০=১>>১ ফুট।
যেহেতু সাপের মাথা ১ ফুট, তার শরীরের বাকি অংশ ১০-১ = <<১০-১=৯>>৯ ফুট লম্বা।
#### ৯"
"ইরা দেশের একটি ৫ লেনের সেতু ছিল যেটির মধ্য দিয়ে প্রতি মাসে ২০০০ যানবাহন যাতায়াত করে। তারা একটি নতুন সেতু তৈরি করার সিদ্ধান্ত নিয়েছে যেটির ক্ষমতা পুরানো সেতুর দ্বিগুণ ছিল এবং নতুনটির মধ্য দিয়ে যাওয়া যানবাহনের সংখ্যা পুরানো সেতুর চেয়ে ৬০% বেশি বেড়েছে। যদি সেতুগুলি এক বছর ধরে কাজ করে, তাহলে দুটি সেতুর মধ্য দিয়ে যাওয়া মোট যানবাহনের সংখ্যা গণনা করুন।","১২ মাস সহ একটি বছরে, পুরানো সেতু দিয়ে মোট যানবাহনের সংখ্যা ২০০০*১২ = <<২০০০*১২=২৪০০০>>২৪০০০
নতুন সেতুটির ধারণক্ষমতা ৬০/১০০*২০০০ = <<৬০/১০০*২০০০=১২০০>>পুরাতন সেতুর চেয়ে এক মাসে ১২০০ বেশি যানবাহন চলে।
নতুন সেতু দিয়ে এক মাসে মোট যানবাহনের সংখ্যা ২০০০+১২০০ = <<২০০০+১২০০=৩২০০>>৩২০০
নতুন সেতু দিয়ে বছরে ৩২০০*১২= <<৩২০০*১২=৩৮৪০০>>৩৮৪০০টি যানবাহন চলাচল করে।
মোট দুটি সেতুর উপর দিয়ে এক বছরে ৩৮৪০০+২৪০০০ = <<৩৮৪০০+২৪০০০=৬২৪০০>>৬২৪০০ যানবাহন চলাচল করে।
#### ৬২৪০০"
জীবন এর কাপড় ধোয়ার যন্ত্র একবারে ৫ কেজি কাপড় ধুতে পারে। ৪টি পাঞ্জাবির ওজন ১ কেজি এবং ২ জোড়া পাজামার ওজন ১ কেজি। যদি তাকে ২০টি পাঞ্জাবি এবং ২০টি পাজামা ধোয়ার প্রয়োজন হয় তবে তাকে কত বার কাপড় ধুতে  হবে?,"পাঞ্জাবির ওজন ২০/৪=<<২০/৪=৫>>৫ কেজি
পাজামার ওজন ২০/২=<<২০/২=১০>>১০ কেজি
তাই তাকে ১০+৫=<<১০+৫=১৫>>১৫ কেজি কাপড় ধুতে করতে হবে
যাতে ১৫/৫=<<১৫/৫=৩>>৩ বার কাপড় ধোয়া লাগবে
#### ৩"
