blind_id,item_id,split,hallucination_type,gold_answer
reasoning-0001,reasoning_hallu-0107,hallucinated,hallucinated_intermediate_fact,"৳৩ প্রতি ডজনে, ক্রিস্টা ৳১২০ / ৳৩ = <<১২০/৩=৪০>>৪০ ডজন ডিম বিক্রি করেছে।
যদি ১০টি মুরগি ৪ সপ্তাহে ৪০ ডজন ডিম দেয়, তার মানে ৪০ ডজন ডিম / ১০টি মুরগি = <<৪০/১০=৪>>প্রতিটি মুরগি চার সপ্তাহে ৪ ডজন ডিম পাড়ে।
প্রতিটি মুরগি এক সপ্তাহে কতটি ডিম দেয় তা জানতে, ৪ ডজন ডিম / ৪ সপ্তাহ = <<৪/৪=১>>প্রতি সপ্তাহে ১ ডজন ডিম।
যেহেতু এক ডজনের ১২টি ডিম আছে, প্রতিটি মুরগি প্রতি সপ্তাহে ১২*১ = <<১২*১=১২>>১২টি ডিম পাড়ে।
#### ১২"
reasoning-0002,reasoning_hallu-0240,hallucinated,semantic_drift,"সোমবার ২০/১০০ * ২৫ = <<২০/১০০*২৫=৫>>৫টি গাড়ি মঙ্গলবারের চেয়ে কম রাস্তা দিয়ে যাচ্ছে৷
তাই সোমবার, হ্যাপি স্ট্রিটে ২৫ - ৫ = <<২৫-৫=২০>>২০টি গাড়ি রয়েছে৷
বুধবার, এই রাস্তায় ২০ + ২ = <<২০+২=২২>>২২টি গাড়ি আছে।
বৃহস্পতি ও শুক্রবার, মোট ১০*২ = <<১০*২=২০>>২০টি গাড়ি চলে।
সপ্তাহান্তে ৫ * ২ = <<৫*২=১০>>১০টি গাড়ি যাচ্ছে৷
তাই সোমবার থেকে রবিবার পর্যন্ত, রাস্তায় ২০ + ২৫ + ২২ + ২০ + ১০ = <<২০+২৫+২২+২০+১০=৯৭>>৯৭টি গাড়ি ঘুরছে।
#### ৯৭"
reasoning-0003,reasoning_hallu-0038,hallucinated,arithmetic_slip,"রাফিরবন্ধুরা দুই বাটি আইসক্রিম কিনেছিল, যাতে তার দাম ছিল ২ * ৩ = ৳<<২*৩=৬>>৬।
তারা তিনজনই দুই কাপ কফি কিনেছে, তাই তারা ২ * ৩ = <<২*৩=৬>> মোট ৬ কাপ কফির অর্ডার দিয়েছে।
তাই কফির দাম ছিল ৬ * ৪ = ৳<<৬*৪=২৪>>২৪।
তার সমস্ত বন্ধুরা প্রত্যেকে এক টুকরো কেক কিনেছিল, তাই এর মোট দাম ছিল ৩ * ৭ = ৳<<৩*৭=২১>>২১৷
রাফিএবং তার বন্ধুরা ক্যাফেটেরিয়াতে মোট ৬ + ২৪ + ২১ = ৳<<৬+২৪+২১=৫১>>৫১ খরচ করেছে৷
#### ৫১"
reasoning-0004,reasoning_hallu-0090,hallucinated,formula_misapplication,"যদি তিশার ট্রিপের তৃতীয় পা টি  প্রথম পায়ের অর্ধেক দূরত্ব ছিল, ৪০ মাইল, এর মানে হল প্রথম পা টি  ৪০*২=<<৪০*২=৮০>>৮০ মাইল লম্বা
যদি ট্রিপের দ্বিতীয় পা টি  প্রথম পায়ের দূরত্বের দ্বিগুণ হয়, তার মানে এটি ৮০*২=<<৮০*২=১৬০>>১৬০ মাইল লম্বা
যদি চতুর্থ পা টি প্রথম ৩টি পায়ে ভ্রমণ করা মোট পরিমাণের দূরত্বের সমান হয়, তার মানে এটি ৪০+৮০+১৬০= <<২৮০=২৮০>>২৮০ মাইল লম্বা।
এর মানে মোট তিশা  ২৮০+২৮০= <<২৮০+২৮০=৫৬০>>৫৬০ মাইল ভ্রমণ করেছে
#### ৫৬০"
reasoning-0005,reasoning_hallu-0033,hallucinated,arithmetic_slip,"তার গ্যাসের দাম তার ৳৬০.০০ মুদিখানার তুলনায় অর্ধেক তাই ৬০/২ = ৳<<৬০/২=৩০.০০>>৩০.০০ গ্যাস
তার কার্ডে ৳১২৬.০০ এর ব্যালেন্স আছে এবং তিনি মোট ১২৬+৬০+৩০ = ৳<<১২৬+৬০+৩০=২১৬.০০>>২১৬.০০ এর জন্য মুদিতে ৳৬০.০০ এবং গ্যাসে ৳৩০.০০ যোগ করেছেন
তার ব্যালেন্স হল ৳২১৬.০০ এবং তিনি ২১৬-৪৫ = ৳<<২১৬-৪৫=১৭১.০০>>১৭১.০০ এর নতুন ব্যালেন্সের জন্য ৳৪৫.০০ মূল্যের পণ্যদ্রব্য ফেরত দেন
#### ১৭১"
reasoning-0006,reasoning_gold-0001,gold,gold,"লুনা উসমানের   চেয়ে ১/৪ বেশি মার্বেল কিনেছে, যা ১/৪ * ১৬ মার্বেল = <<১/৪*১৬=৪>>৪ মার্বেল
লুনার  কেনা মোট মার্বেল সংখ্যা হল ১৬ মার্বেল + ৪ মার্বেল = <<১৬+৪=২০>>২০টি মার্বেল
উসমান  এবং লুনা  মোট ২০টি মার্বেল + ১৬টি মার্বেল = <<২০+১৬=৩৬>>৩৬টি মার্বেল কিনেছে।
মামুন  যদি উসমান  এবং লুনার  দ্বারা কেনা মোট মার্বেলের ২/৩ গুণ ক্রয় করেন, তবে তিনি ২/৩ * ৩৬ মার্বেল = <<২/৩*৩৬=২৪>>২৪ মার্বেল কিনেছেন।
তিন বন্ধু মোট ২৪টি মার্বেল + ৩৬টি মার্বেল = <<২৪+৩৬=৬০>>৬০টি মার্বেল কিনেছে।
যখন তারা সমানভাবে মার্বেলগুলি ভাগ করে নেয়, তখন প্রত্যেকে ৬০টি মার্বেল / ৩ জন = <<৬০/৩=২০>>২০টি মার্বেল/ব্যক্তি পেয়েছিল৷
#### ২০"
reasoning-0007,reasoning_hallu-0193,hallucinated,invalid_deduction,"গাছের সংখ্যা পাথরের সংখ্যার চেয়ে তিনগুণ বেশি, মানে ৩*৪০ = <<৩*৪০=১২০>>আঙ্গিনায় পাথরের চেয়ে ১২০টি বেশি গাছ রয়েছে।
উঠানে মোট গাছের সংখ্যা ১২০+৪০ = <<১২০+৪০=১৬০>>১৬০
সম্মিলিতভাবে, উঠানে ১৬০+৪০ = <<১৬০+৪০=২০০>>২০০টি গাছ এবং পাথর রয়েছে।
যেহেতু পাখির সংখ্যা উঠানে গাছ এবং পাথরের মিলিত সংখ্যার দ্বিগুণ, তাই গাছে ২*২০০ =<<২*২০০=৪০০>>৪০০ টি পাখি রয়েছে।
#### ৪০০"
reasoning-0008,reasoning_hallu-0121,hallucinated,hallucinated_intermediate_fact,"বৃহস্পতি ১২:১০ ঘটিকার পরে ২ ঘন্টা এবং ৪১ মিনিট পরে আবির্ভূত হয়, যা দুটি অংশে গণনা করা যেতে পারে;
১২:১০ ঘটিকার  পরে ২ ঘন্টা হল ১২:১০+২:০০ = ২:১০ ঘটিকা ৷
এবং ২:১০ ঘটিকার  পরে একটি অতিরিক্ত ৪১ মিনিট হল ২:১০+০:৪১ = ২:৫১ ঘটিকা ৷
ইউরেনাস ২:৫১ ঘটিকার  পরে ৩ ঘন্টা এবং ১৬ মিনিট পরে প্রদর্শিত হয়, যা দুটি অংশে গণনা করা যেতে পারে:
৩ ঘন্টা পরে ২:৫১  ঘটিকায়  ২:৫১+৩:০০ = ৫:৫১ ঘটিকা ৷
এবং ৫:৫১ ঘটিকা  পরে ১৬ মিনিট হল ৫:৫১+০:১৬ = ৫:৬৭ ঘটিকা  = ৬:০৭ ঘটিকা৷
এইভাবে, ৬:০৭ ঘটিকা হল ৬:০০ AM পরে ৭ মিনিট।
#### ৭"
reasoning-0009,reasoning_hallu-0020,hallucinated,arithmetic_slip,"অফিসগুলি মোট ৩টি অফিসে অর্ডার করেছে * ১০টি পিঠা প্রতিটি = <<৩*১০=৩০>>৩০টি পিঠা৷
সুতরাং গ্রাহকদের গ্রুপ অবশ্যই মোট ৫৪টি পিঠা অর্ডার করেছে – অফিসের জন্য ৩০টি পিঠা = <<৫৪-৩০=২৪>>২৪টি পিঠা।
এটি মোট ২৪টি পিঠা / ৪টি পিঠা প্রতি গ্রাহক = <<২৪/৪=৬>>৬ গ্রাহক যারা একটি পিঠা অর্ডার করেছেন।
যেহেতু মাত্র অর্ধেক গোষ্ঠী একটি পিঠা অর্ডার করেছিল, পুরো গ্রুপে অবশ্যই ৬ জন গ্রাহক থাকতে হবে * ২ = <<৬*২=১২>>১২ জন গ্রাহক।
#### ১২"
reasoning-0010,reasoning_hallu-0226,hallucinated,semantic_drift,"যদি চালের ওজন সবুজ মটরশুটি থেকে ৩০ কেজি কম হয়, তাহলে মোট চালের ওজন ৬০ কেজি - ৩০ কেজি = ৩০ কেজি
যদি সবুজ মটরশুটির ওজন চিনির চেয়ে ১০ কেজি বেশি হয়, তাহলে মোট চিনির ওজন ৬০ কেজি - ১০ কেজি = <<৬০-১০=৫০>>৫০ কেজি
যখন চালের ১/৩ ওজন কমে যায়, ওজন কমে যায় ১/৩*৩০ = <<১/৩*৩০=১০>>১০ কেজি
ক্ষতির পর চালের ওজন ৩০ কেজি - ১০ কেজি = <<৩০-১০=২০>>২০ কেজি।
যখন চিনির ১/৫ ওজন কমে গিয়েছিল, হারানো ওজন ছিল ১/৫ * ৫০ কেজি = <<১/৫*৫০=১০>>১০ কেজি
ক্ষতির পরে চিনির ওজন ৫০ কেজি - ১০ কেজি = <<৫০-১০=৪০>>৪০ কেজি।
সমস্ত আইটেমের মোট ওজন হল ৪০ কেজি + ২০ কেজি + ৬০ কেজি = <<৪০+২০+৬০=১২০>>১২০ কেজি
#### ১২০"
